Title	Year	Rating	Runtime	Score	Votes	Famous	RatingGroup
Much Ado About Christmas	2021	7+	85	6.8	758	FALSE	Other
Time for Me to Come Home for Christmas	2018	TV-G	84	6.6	1571	TRUE	G
A Christmas to Remember	2016	TV-G	84	6.5	2487	TRUE	G
Kirk Franklin's A Gospel Christmas	2021	TV-G	87	6.4	287	FALSE	G
Naughty & Nice	2014	TV-PG	88	5.9	1606	TRUE	PG
Making Spirits Bright	2021	TV-G	84	6.1	724	FALSE	G
A Christmas in Tennessee	2018	TV-PG	87	6.7	1360	TRUE	PG
The Christmas Note	2015	Not Rated	85	6.7	1388	TRUE	Other
Picture a Perfect Christmas	2019	TV-G	84	6.9	1655	TRUE	G
Christmas at Rosemont	2015	TV-14	95	6.6	792	FALSE	Other
A Royal Christmas Ball	2017	TV-PG	86	4.6	965	FALSE	PG
A Godwink Christmas: Miracle of Love	2021	TV-G	84	6.2	732	FALSE	G
Nagykarácsony	2021	NA	110	6.3	1009	FALSE	Other
Christmas in Love	2018	TV-G	84	6.3	2059	TRUE	G
Fixing Up Christmas	2021	AL	85	5.9	366	FALSE	Other
Project Christmas Wish	2020	TV-G	85	6.9	1240	TRUE	G
A Very Charming Christmas Town	2020	TV-PG	88	5.9	850	FALSE	PG
The Last Christmas Home	2018	TV-G	82	5.8	1052	FALSE	G
A Dickens of a Holiday!	2021	AL	84	7.3	1161	FALSE	Other
A Royal Queens Christmas	2021	TV-G	84	6.4	1165	FALSE	G
A Very Corgi Christmas	2019	NA	90	5.3	607	FALSE	Other
Christmas in Toyland	2022	NA	85	6.4	597	FALSE	Other
Northpole	2014	G	81	6.3	1886	TRUE	G
A Taste of Christmas	2017	Unrated	84	5.9	1449	TRUE	Other
Christmas in Paris	2019	G	90	5.1	564	FALSE	G
Cranberry Christmas	2020	NA	84	6.5	989	FALSE	Other
Let It Snow	2013	TV-G	82	6.6	3015	TRUE	G
A Twist of Christmas	2018	TV-PG	87	6.4	919	FALSE	PG
Christmas Ever After	2020	TV-G	87	6.1	752	FALSE	G
Holly & Ivy	2020	TV-G	85	7.1	1220	TRUE	G
A Wish For Christmas	2016	TV-G	84	5.9	4874	TRUE	G
A Bramble House Christmas	2017	Not Rated	84	7.1	2404	TRUE	Other
A Boyfriend for Christmas	2004	TV-G	94	6.4	3320	TRUE	G
Love at the Christmas Contest	2022	NA	90	5.7	269	FALSE	Other
The Christmas Project	2016	TV-PG	92	5.5	509	FALSE	PG
Christmas Cookies	2016	TV-G	84	6.4	2432	TRUE	G
Switched for Christmas	2017	TV-G	83	6.6	3100	TRUE	G
Good Morning Christmas!	2020	TV-G	84	6.9	1543	TRUE	G
Angel of Christmas	2015	TV-G	84	6.2	2223	TRUE	G
A Puppy for Christmas	2016	TV-PG	85	5.9	1079	FALSE	PG
A Perfect Christmas	2016	TV-G	84	6.1	1333	TRUE	G
Spotlight on Christmas	2020	TV-PG	84	6.1	780	FALSE	PG
The Santa Suit	2010	TV-G	89	6.5	1021	FALSE	G
Snow	2004	NA	120	6.4	1945	TRUE	Other
The Twelve Days of Christmas Eve	2004	PG	85	5.7	1058	FALSE	PG
The Enchanted Christmas Cake	2021	NA	90	5.4	544	FALSE	Other
Never Kiss a Man in a Christmas Sweater	2020	TV-G	84	6.7	1847	TRUE	G
Dashing in December	2020	TV-14	88	6.2	1356	TRUE	Other
Pride, Prejudice and Mistletoe	2018	TV-PG	82	6.2	2089	TRUE	PG
Christmas Child	2004	Not Rated	96	6.2	613	FALSE	Other
